Degrees C,Degrees F,Humidity,Timestamp
25.51,77.92,45.1,2022-05-24 17:05:02
25.56,78.01,45.13,2022-05-24 18:05:02
25.65,78.17,45.28,2022-05-24 19:05:02
25.71,78.28,45.4,2022-05-24 20:05:02
24.12,75.42,32.57,2022-05-24 21:05:02
23.0,73.4,32.53,2022-05-24 22:05:02
23.8,74.84,41.47,2022-05-24 23:05:02
24.31,75.76,42.3,2022-05-25 00:05:02
24.59,76.26,42.76,2022-05-25 01:05:02
24.73,76.51,42.8,2022-05-25 02:05:01
24.81,76.66,42.95,2022-05-25 03:05:02
24.84,76.71,42.93,2022-05-25 04:05:02
24.83,76.69,42.76,2022-05-25 05:05:02
24.81,76.66,42.86,2022-05-25 06:05:02
24.82,76.68,45.89,2022-05-25 07:05:02
24.85,76.73,46.05,2022-05-25 08:05:02
24.81,76.66,45.1,2022-05-25 09:05:02
24.76,76.57,44.59,2022-05-25 10:05:02
24.73,76.51,44.92,2022-05-25 11:05:02
24.71,76.48,44.71,2022-05-25 12:05:02
24.67,76.41,44.52,2022-05-25 13:05:02
24.61,76.3,44.6,2022-05-25 14:05:01
24.55,76.19,44.43,2022-05-25 15:05:02
24.53,76.15,44.6,2022-05-25 16:05:02
24.49,76.08,44.68,2022-05-25 17:05:02
24.45,76.01,44.56,2022-05-25 18:05:01
24.38,75.88,44.76,2022-05-25 19:05:02
24.34,75.81,44.96,2022-05-25 20:05:02
24.37,75.87,45.57,2022-05-25 21:05:02
24.36,75.85,45.76,2022-05-25 22:05:02
24.36,75.85,45.94,2022-05-25 23:05:02
24.35,75.83,45.8,2022-05-26 00:05:02
24.33,75.79,45.59,2022-05-26 01:05:02
24.3,75.74,45.67,2022-05-26 02:05:02
24.25,75.65,45.8,2022-05-26 03:05:02
24.17,75.51,45.71,2022-05-26 04:05:02
24.16,75.49,46.55,2022-05-26 05:05:02
24.2,75.56,46.9,2022-05-26 06:05:03
24.47,76.05,47.3,2022-05-26 07:05:02
25.27,77.49,45.85,2022-05-26 08:05:02
25.52,77.94,44.77,2022-05-26 09:05:02
25.52,77.94,44.72,2022-05-26 10:05:02
24.98,76.96,45.27,2022-05-26 11:05:02
24.69,76.44,45.36,2022-05-26 12:05:02
24.58,76.24,45.39,2022-05-26 13:05:02
24.7,76.46,46.14,2022-05-26 14:05:02
25.16,77.29,45.53,2022-05-26 15:05:02
25.69,78.24,45.14,2022-05-26 16:05:02
25.88,78.58,45.79,2022-05-26 17:05:02
26.03,78.85,45.64,2022-05-26 18:05:02
25.98,78.76,45.97,2022-05-26 19:05:02
25.76,78.37,46.61,2022-05-26 20:05:02
25.72,78.3,47.33,2022-05-26 21:05:02
25.67,78.21,47.91,2022-05-26 22:05:02
25.62,78.12,47.95,2022-05-26 23:05:02
25.58,78.04,48.04,2022-05-27 00:05:02
25.5,77.9,47.83,2022-05-27 01:05:02
25.39,77.7,47.9,2022-05-27 02:05:02
25.32,77.58,48.13,2022-05-27 03:05:02
25.26,77.47,48.04,2022-05-27 04:05:02
25.14,77.25,48.04,2022-05-27 05:05:02
25.07,77.13,48.36,2022-05-27 06:05:02
25.35,77.63,52.53,2022-05-27 07:05:02
25.75,78.35,51.72,2022-05-27 08:05:02
26.17,79.11,49.72,2022-05-27 09:05:02
26.47,79.65,48.59,2022-05-27 10:05:02
26.6,79.88,48.31,2022-05-27 11:05:01
26.62,79.92,48.26,2022-05-27 12:05:02
26.68,80.02,49.31,2022-05-27 13:05:02
26.7,80.06,49.13,2022-05-27 14:05:02
26.75,80.15,48.52,2022-05-27 15:05:02
26.78,80.2,48.81,2022-05-27 16:05:02
26.85,80.33,48.94,2022-05-27 17:05:02
26.91,80.44,48.88,2022-05-27 18:05:02
26.03,78.85,38.96,2022-05-27 19:05:02
25.52,77.94,39.99,2022-05-27 20:05:01
24.91,76.84,41.72,2022-05-27 21:05:02
24.56,76.21,43.52,2022-05-27 22:05:02
25.05,77.09,46.13,2022-05-27 23:05:02
25.49,77.88,46.22,2022-05-28 00:05:02
25.71,78.28,46.23,2022-05-28 01:05:02
25.86,78.55,45.27,2022-05-28 02:05:02
25.91,78.64,45.66,2022-05-28 03:05:02
25.94,78.69,45.03,2022-05-28 04:05:02
25.88,78.58,45.67,2022-05-28 05:05:02
25.75,78.35,45.86,2022-05-28 06:05:02
25.83,78.49,47.1,2022-05-28 07:05:02
25.96,78.73,47.53,2022-05-28 08:05:02
26.14,79.05,48.02,2022-05-28 09:05:02
26.56,79.81,44.29,2022-05-28 10:05:02
26.69,80.04,41.5,2022-05-28 11:05:02
26.99,80.58,43.01,2022-05-28 12:05:02
27.09,80.76,45.51,2022-05-28 13:05:02
27.16,80.89,46.79,2022-05-28 14:05:02
27.29,81.12,46.6,2022-05-28 15:05:02
27.41,81.34,47.42,2022-05-28 16:05:02
27.57,81.63,48.14,2022-05-28 17:05:02
27.76,81.97,47.86,2022-05-28 18:05:02
27.87,82.17,47.88,2022-05-28 19:05:02
27.97,82.35,48.2,2022-05-28 20:05:02
28.04,82.47,48.33,2022-05-28 21:05:02
27.23,81.01,50.12,2022-05-28 22:05:02
26.66,79.99,52.61,2022-05-28 23:05:02
26.87,80.37,50.09,2022-05-29 00:05:02
26.85,80.33,49.76,2022-05-29 01:05:02
26.65,79.97,50.5,2022-05-29 02:05:02
26.33,79.39,51.22,2022-05-29 03:05:02
25.94,78.69,51.87,2022-05-29 04:05:02
25.51,77.92,52.81,2022-05-29 05:05:02
25.0,77.0,54.22,2022-05-29 06:05:02
24.31,75.76,57.18,2022-05-29 07:05:02
24.06,75.31,58.7,2022-05-29 08:05:02
23.95,75.11,62.12,2022-05-29 09:05:02
23.82,74.88,62.69,2022-05-29 10:05:02
23.58,74.44,64.31,2022-05-29 11:05:03
24.66,76.39,60.99,2022-05-29 12:05:02
25.21,77.38,60.01,2022-05-29 13:05:02
25.68,78.22,58.31,2022-05-29 14:05:02
26.21,79.18,57.3,2022-05-29 15:05:02
26.66,79.99,56.42,2022-05-29 16:05:02
26.84,80.31,56.08,2022-05-29 17:05:02
27.09,80.76,60.37,2022-05-29 18:05:02
27.36,81.25,57.89,2022-05-29 19:05:02
27.4,81.32,56.57,2022-05-29 20:05:02
27.35,81.23,55.7,2022-05-29 21:05:02
27.42,81.36,57.03,2022-05-29 22:05:02
27.65,81.77,56.49,2022-05-29 23:05:02
27.81,82.06,56.14,2022-05-30 00:05:02
27.92,82.26,55.92,2022-05-30 01:05:02
28.0,82.4,55.66,2022-05-30 02:05:02
28.07,82.53,55.1,2022-05-30 03:05:02
28.11,82.6,54.9,2022-05-30 04:05:02
28.12,82.62,54.75,2022-05-30 05:05:02
27.23,81.01,49.92,2022-05-30 06:05:02
25.95,78.71,53.13,2022-05-30 07:05:02
25.09,77.16,59.34,2022-05-30 08:05:02
26.1,78.98,57.4,2022-05-30 09:05:02
24.45,76.01,63.43,2022-05-30 10:05:02
24.1,75.38,66.89,2022-05-30 11:05:02
24.95,76.91,66.01,2022-05-30 12:05:02
25.51,77.92,65.65,2022-05-30 13:05:02
26.35,79.43,62.35,2022-05-30 14:05:02
26.83,80.29,60.21,2022-05-30 15:05:02
27.09,80.76,60.44,2022-05-30 16:05:02
27.37,81.27,61.95,2022-05-30 17:05:02
27.59,81.66,60.69,2022-05-30 18:05:02
27.76,81.97,60.34,2022-05-30 19:05:02
27.84,82.11,59.02,2022-05-30 20:05:02
27.76,81.97,58.26,2022-05-30 21:05:02
27.73,81.91,57.68,2022-05-30 22:05:02
27.69,81.84,57.44,2022-05-30 23:05:02
27.6,81.68,58.12,2022-05-31 00:05:02
27.46,81.43,57.57,2022-05-31 01:05:02
27.38,81.28,56.26,2022-05-31 02:05:02
27.27,81.09,57.33,2022-05-31 03:05:02
27.1,80.78,56.63,2022-05-31 04:05:02
26.96,80.53,56.18,2022-05-31 05:05:02
24.6,76.28,47.94,2022-05-31 06:05:02
22.88,73.18,52.7,2022-05-31 07:05:02
24.18,75.52,58.02,2022-05-31 08:05:01
25.25,77.45,56.21,2022-05-31 09:05:02
25.88,78.58,55.66,2022-05-31 10:05:02
26.21,79.18,55.14,2022-05-31 11:05:02
26.51,79.72,55.45,2022-05-31 12:05:02
26.72,80.1,54.81,2022-05-31 13:05:02
26.82,80.28,54.64,2022-05-31 14:05:02
26.95,80.51,54.82,2022-05-31 15:05:02
27.03,80.65,54.33,2022-05-31 16:05:02
27.08,80.74,54.08,2022-05-31 17:05:02
27.14,80.85,54.28,2022-05-31 18:05:02
23.83,74.89,45.87,2022-05-31 19:05:02
21.58,70.84,45.94,2022-05-31 20:05:02
21.78,71.2,46.12,2022-05-31 21:05:02
21.5,70.7,45.91,2022-05-31 22:05:01
21.14,70.05,47.23,2022-05-31 23:05:02
20.82,69.48,48.5,2022-06-01 00:05:02
20.59,69.06,49.7,2022-06-01 01:05:02
20.27,68.49,51.22,2022-06-01 02:05:02
19.79,67.62,52.45,2022-06-01 03:05:02
19.38,66.88,53.72,2022-06-01 04:05:01
20.15,68.27,53.65,2022-06-01 05:05:02
21.18,70.12,51.89,2022-06-01 06:05:02
22.08,71.74,55.54,2022-06-01 07:05:02
23.21,73.78,52.44,2022-06-01 08:05:02
24.06,75.31,51.32,2022-06-01 09:05:02
24.47,76.05,50.58,2022-06-01 10:05:02
24.87,76.77,50.11,2022-06-01 11:05:02
25.02,77.04,49.66,2022-06-01 12:05:02
25.07,77.13,49.32,2022-06-01 13:05:02
25.15,77.27,49.2,2022-06-01 14:05:02
25.25,77.45,48.99,2022-06-01 15:05:02
25.36,77.65,49.03,2022-06-01 16:05:02
25.47,77.85,48.84,2022-06-01 17:05:02
25.57,78.03,48.87,2022-06-01 18:05:02
25.5,77.9,42.77,2022-06-01 19:05:02
25.31,77.56,41.99,2022-06-01 20:05:02
23.5,74.3,34.03,2022-06-01 21:05:02
23.73,74.71,39.37,2022-06-01 22:05:01
23.77,74.79,37.83,2022-06-01 23:05:02
23.55,74.39,37.66,2022-06-02 00:05:02
23.29,73.92,39.35,2022-06-02 01:05:02
22.98,73.36,40.43,2022-06-02 02:05:02
22.73,72.91,41.19,2022-06-02 03:05:02
22.51,72.52,40.16,2022-06-02 04:05:01
22.28,72.1,38.26,2022-06-02 05:05:02
22.62,72.72,48.59,2022-06-02 06:05:02
23.22,73.8,48.03,2022-06-02 07:05:02
23.98,75.16,46.43,2022-06-02 08:05:02
24.59,76.26,45.89,2022-06-02 09:05:02
25.03,77.05,45.25,2022-06-02 10:05:02
25.26,77.47,45.1,2022-06-02 11:05:01
25.41,77.74,45.2,2022-06-02 12:05:02
25.55,77.99,45.58,2022-06-02 13:05:02
25.68,78.22,45.41,2022-06-02 14:05:02
25.77,78.39,45.19,2022-06-02 15:05:02
25.93,78.67,45.6,2022-06-02 16:05:02
26.04,78.87,45.4,2022-06-02 17:05:02
26.06,78.91,38.18,2022-06-02 18:05:02
24.72,76.5,27.2,2022-06-02 19:05:02
23.69,74.64,26.23,2022-06-02 20:05:02
23.16,73.69,30.0,2022-06-02 21:05:02
23.92,75.06,36.55,2022-06-02 22:05:02
24.23,75.61,37.68,2022-06-02 23:05:02
24.3,75.74,37.35,2022-06-03 00:05:02
24.36,75.85,37.95,2022-06-03 01:05:02
24.32,75.78,38.6,2022-06-03 02:05:02
24.2,75.56,37.89,2022-06-03 03:05:02
24.04,75.27,38.38,2022-06-03 04:05:02
23.8,74.84,38.12,2022-06-03 05:05:02
23.51,74.32,34.51,2022-06-03 06:05:02
23.86,74.95,42.35,2022-06-03 07:05:02
24.46,76.03,41.56,2022-06-03 08:05:02
25.11,77.2,41.45,2022-06-03 09:05:02
25.56,78.01,41.22,2022-06-03 10:05:02
25.76,78.37,41.07,2022-06-03 11:05:02
25.81,78.46,41.14,2022-06-03 12:05:02
25.81,78.46,41.43,2022-06-03 13:05:02
25.8,78.44,41.59,2022-06-03 14:05:02
25.83,78.49,41.82,2022-06-03 15:05:02
25.86,78.55,42.09,2022-06-03 16:05:01
25.9,78.62,42.1,2022-06-03 17:05:02
24.18,75.52,26.98,2022-06-03 18:05:02
23.1,73.58,27.04,2022-06-03 19:05:02
22.47,72.45,27.97,2022-06-03 20:05:02
21.72,71.1,29.99,2022-06-03 21:05:02
22.25,72.05,35.17,2022-06-03 22:05:02
22.79,73.02,35.15,2022-06-03 23:05:01
22.97,73.35,35.94,2022-06-04 00:05:02
22.99,73.38,35.93,2022-06-04 01:05:02
22.99,73.38,35.85,2022-06-04 02:05:02
23.0,73.4,35.52,2022-06-04 03:05:02
22.92,73.26,35.21,2022-06-04 04:05:02
22.83,73.09,35.07,2022-06-04 05:05:01
22.73,72.91,35.36,2022-06-04 06:05:02
26.34,79.41,30.71,2022-06-04 07:05:02
24.16,75.49,35.88,2022-06-04 08:05:02
24.86,76.75,34.56,2022-06-04 09:05:02
25.34,77.61,37.87,2022-06-04 10:05:02
25.59,78.06,39.7,2022-06-04 11:05:02
25.97,78.75,40.81,2022-06-04 12:05:02
26.18,79.12,40.8,2022-06-04 13:05:02
26.57,79.83,40.14,2022-06-04 14:05:02
26.44,79.59,40.05,2022-06-04 15:05:02
26.59,79.86,42.48,2022-06-04 16:05:02
26.78,80.2,42.54,2022-06-04 17:05:02
26.95,80.51,42.99,2022-06-04 18:05:02
27.09,80.76,43.04,2022-06-04 19:05:02
26.77,80.19,38.49,2022-06-04 20:05:02
26.44,79.59,37.61,2022-06-04 21:05:02
24.26,75.67,41.41,2022-06-04 22:05:01
24.0,75.2,45.22,2022-06-04 23:05:02
23.63,74.53,46.68,2022-06-05 00:05:02
23.33,73.99,47.87,2022-06-05 01:05:02
23.1,73.58,48.92,2022-06-05 02:05:02
22.79,73.02,49.85,2022-06-05 03:05:02
22.51,72.52,51.14,2022-06-05 04:05:01
22.32,72.18,51.72,2022-06-05 05:05:02
22.11,71.8,52.94,2022-06-05 06:05:02
22.7,72.86,52.01,2022-06-05 07:05:02
22.27,72.09,55.45,2022-06-05 08:05:02
22.33,72.19,54.4,2022-06-05 09:05:02
22.46,72.43,53.4,2022-06-05 10:05:02
23.16,73.69,52.6,2022-06-05 11:05:02
23.64,74.55,50.35,2022-06-05 12:05:02
23.97,75.15,49.43,2022-06-05 13:05:02
24.42,75.96,48.91,2022-06-05 14:05:02
25.1,77.18,48.8,2022-06-05 15:05:02
25.35,77.63,48.16,2022-06-05 16:05:02
25.51,77.92,48.73,2022-06-05 17:05:02
25.38,77.68,43.64,2022-06-05 18:05:02
24.86,76.75,47.76,2022-06-05 19:05:02
24.46,76.03,49.01,2022-06-05 20:05:02
24.17,75.51,50.8,2022-06-05 21:05:02
23.73,74.71,52.36,2022-06-05 22:05:01
23.44,74.19,52.36,2022-06-05 23:05:02
23.22,73.8,52.68,2022-06-06 00:05:02
23.4,74.12,52.66,2022-06-06 01:05:02
24.05,75.29,51.4,2022-06-06 02:05:02
24.44,75.99,50.9,2022-06-06 03:05:02
24.95,76.91,49.98,2022-06-06 04:05:01
25.06,77.11,49.68,2022-06-06 05:05:02
25.23,77.41,50.21,2022-06-06 06:05:02
25.57,78.03,49.05,2022-06-06 07:05:02
25.97,78.75,48.63,2022-06-06 08:05:02
26.38,79.48,48.1,2022-06-06 09:05:02
26.62,79.92,47.88,2022-06-06 10:05:02
26.88,80.38,47.48,2022-06-06 11:05:02
27.05,80.69,47.39,2022-06-06 12:05:02
27.15,80.87,46.98,2022-06-06 13:05:02
27.26,81.07,46.74,2022-06-06 14:05:02
27.35,81.23,46.47,2022-06-06 15:05:02
27.48,81.46,46.58,2022-06-06 16:05:02
27.29,81.12,38.06,2022-06-06 17:05:01
26.22,79.2,37.26,2022-06-06 18:05:02
25.59,78.06,36.81,2022-06-06 19:05:02
25.35,77.63,38.35,2022-06-06 20:05:02
25.02,77.04,39.86,2022-06-06 21:05:02
24.48,76.06,40.39,2022-06-06 22:05:02
23.97,75.15,40.54,2022-06-06 23:05:02
23.59,74.46,40.2,2022-06-07 00:05:02
23.03,73.45,39.44,2022-06-07 01:05:02
22.55,72.59,40.09,2022-06-07 02:05:02
22.04,71.67,40.91,2022-06-07 03:05:02
21.62,70.92,42.99,2022-06-07 04:05:01
21.3,70.34,43.84,2022-06-07 05:05:02
21.05,69.89,44.7,2022-06-07 06:05:02
22.64,72.75,44.33,2022-06-07 07:05:02
23.41,74.14,44.31,2022-06-07 08:05:02
23.93,75.07,43.87,2022-06-07 09:05:02
24.29,75.72,43.45,2022-06-07 10:05:02
24.58,76.24,43.36,2022-06-07 11:05:02
24.81,76.66,43.01,2022-06-07 12:05:02
25.03,77.05,42.66,2022-06-07 13:05:02
25.24,77.43,42.7,2022-06-07 14:05:02
25.35,77.63,42.62,2022-06-07 15:05:02
25.49,77.88,42.79,2022-06-07 16:05:02
25.58,78.04,43.12,2022-06-07 17:05:02
24.64,76.35,39.7,2022-06-07 18:05:02
24.29,75.72,38.89,2022-06-07 19:05:02
23.84,74.91,40.01,2022-06-07 20:05:02
24.55,76.19,43.18,2022-06-07 21:05:02
25.0,77.0,43.21,2022-06-07 22:05:02
25.28,77.5,43.36,2022-06-07 23:05:02
25.49,77.88,43.46,2022-06-08 00:05:02
25.62,78.12,43.35,2022-06-08 01:05:02
25.7,78.26,43.4,2022-06-08 02:05:02
25.76,78.37,43.46,2022-06-08 03:05:02
25.72,78.3,42.6,2022-06-08 04:05:02
25.13,77.23,43.08,2022-06-08 05:05:02
22.3,72.14,49.33,2022-06-08 06:05:02
22.5,72.5,50.81,2022-06-08 07:05:02
23.88,74.98,48.16,2022-06-08 08:05:02
24.88,76.78,46.28,2022-06-08 09:05:02
25.4,77.72,45.55,2022-06-08 10:05:01
25.91,78.64,45.23,2022-06-08 11:05:02
26.18,79.12,44.62,2022-06-08 12:05:02
26.32,79.38,44.43,2022-06-08 13:05:02
26.44,79.59,44.48,2022-06-08 14:05:02
26.58,79.84,44.28,2022-06-08 15:05:02
26.74,80.13,44.25,2022-06-08 16:05:02
26.86,80.35,44.14,2022-06-08 17:05:02
27.01,80.62,44.6,2022-06-08 18:05:02
26.71,80.08,30.19,2022-06-08 19:05:01
25.18,77.32,27.82,2022-06-08 20:05:02
24.61,76.3,31.06,2022-06-08 21:05:02
24.26,75.67,34.38,2022-06-08 22:05:02
23.78,74.8,35.72,2022-06-08 23:05:02
23.35,74.03,36.99,2022-06-09 00:05:02
22.79,73.02,38.43,2022-06-09 01:05:02
22.31,72.16,39.64,2022-06-09 02:05:02
21.8,71.24,41.0,2022-06-09 03:05:02
21.39,70.5,40.91,2022-06-09 04:05:02
20.84,69.51,42.54,2022-06-09 05:05:02
22.15,71.87,43.8,2022-06-09 06:05:02
23.16,73.69,42.3,2022-06-09 07:05:02
24.12,75.42,41.64,2022-06-09 08:05:01
24.95,76.91,40.96,2022-06-09 09:05:02
25.51,77.92,40.61,2022-06-09 10:05:02
25.91,78.64,40.34,2022-06-09 11:05:02
26.13,79.03,40.36,2022-06-09 12:05:02
26.28,79.3,40.61,2022-06-09 13:05:02
26.5,79.7,40.77,2022-06-09 14:05:02
26.71,80.08,40.95,2022-06-09 15:05:02
26.99,80.58,40.99,2022-06-09 16:05:02
27.2,80.96,41.33,2022-06-09 17:05:02
27.31,81.16,30.71,2022-06-09 18:05:02
26.82,80.28,28.42,2022-06-09 19:05:02
26.4,79.52,29.89,2022-06-09 20:05:02
26.24,79.23,32.94,2022-06-09 21:05:02
26.45,79.61,36.33,2022-06-09 22:05:02
26.56,79.81,38.14,2022-06-09 23:05:02
26.6,79.88,38.83,2022-06-10 00:05:02
26.51,79.72,39.99,2022-06-10 01:05:02
26.39,79.5,40.12,2022-06-10 02:05:02
26.32,79.38,40.63,2022-06-10 03:05:02
26.1,78.98,41.21,2022-06-10 04:05:01
25.16,77.29,42.23,2022-06-10 05:05:02
23.41,74.14,45.23,2022-06-10 06:05:02
22.25,72.05,47.73,2022-06-10 07:05:02
23.57,74.43,48.39,2022-06-10 08:05:02
24.53,76.15,46.43,2022-06-10 09:05:02
25.16,77.29,45.18,2022-06-10 10:05:02
25.69,78.24,44.34,2022-06-10 11:05:02
26.07,78.93,43.92,2022-06-10 12:05:02
26.39,79.5,43.39,2022-06-10 13:05:02
26.59,79.86,41.13,2022-06-10 14:05:02
26.76,80.17,40.58,2022-06-10 15:05:01
26.96,80.53,41.26,2022-06-10 16:05:02
27.14,80.85,41.49,2022-06-10 17:05:02
26.94,80.49,35.81,2022-06-10 18:05:02
26.66,79.99,36.81,2022-06-10 19:05:02
26.41,79.54,37.09,2022-06-10 20:05:02
26.36,79.45,38.5,2022-06-10 21:05:02
26.0,78.8,40.06,2022-06-10 22:05:02
26.37,79.47,41.28,2022-06-10 23:05:02
26.53,79.75,41.56,2022-06-11 00:05:02
26.55,79.79,41.22,2022-06-11 01:05:02
26.59,79.86,42.52,2022-06-11 02:05:02
26.5,79.7,42.38,2022-06-11 03:05:02
26.54,79.77,42.89,2022-06-11 04:05:02
26.4,79.52,43.06,2022-06-11 05:05:02
26.36,79.45,42.67,2022-06-11 06:05:02
26.13,79.03,49.96,2022-06-11 07:05:02
26.14,79.05,49.57,2022-06-11 08:05:02
26.24,79.23,50.86,2022-06-11 09:05:02
26.5,79.7,50.33,2022-06-11 10:05:02
27.09,80.76,48.41,2022-06-11 11:05:02
27.49,81.48,48.59,2022-06-11 12:05:02
27.71,81.88,46.99,2022-06-11 13:05:02
28.1,82.58,46.84,2022-06-11 14:05:02
28.06,82.51,46.31,2022-06-11 15:05:01
28.11,82.6,45.91,2022-06-11 16:05:02
27.73,81.91,47.93,2022-06-11 17:05:02
27.34,81.21,48.13,2022-06-11 18:05:02
27.12,80.82,48.89,2022-06-11 19:05:02
26.88,80.38,48.99,2022-06-11 20:05:02
26.02,78.84,50.09,2022-06-11 21:05:02
25.23,77.41,52.41,2022-06-11 22:05:02
24.88,76.78,51.67,2022-06-11 23:05:02
24.72,76.5,51.52,2022-06-12 00:05:02
24.54,76.17,51.22,2022-06-12 01:05:02
24.26,75.67,51.93,2022-06-12 02:05:02
23.99,75.18,53.06,2022-06-12 03:05:02
23.71,74.68,52.68,2022-06-12 04:05:02
23.53,74.35,52.92,2022-06-12 05:05:02
24.32,75.78,51.3,2022-06-12 06:05:02
24.45,76.01,51.9,2022-06-12 07:05:02
23.74,74.73,55.41,2022-06-12 08:05:02
23.26,73.87,56.01,2022-06-12 09:05:02
23.21,73.78,57.26,2022-06-12 10:05:02
23.92,75.06,56.2,2022-06-12 11:05:02
24.49,76.08,57.04,2022-06-12 12:05:02
24.85,76.73,59.59,2022-06-12 13:05:02
25.55,77.99,57.14,2022-06-12 14:05:02
26.17,79.11,55.8,2022-06-12 15:05:02
26.61,79.9,55.46,2022-06-12 16:05:02
26.79,80.22,56.61,2022-06-12 17:05:02
27.15,80.87,56.37,2022-06-12 18:05:02
27.36,81.25,54.04,2022-06-12 19:05:02
27.36,81.25,53.57,2022-06-12 20:05:02
27.39,81.3,54.24,2022-06-12 21:05:02
27.31,81.16,53.81,2022-06-12 22:05:01
27.23,81.01,52.76,2022-06-12 23:05:02
